Epoch,Learning Rate,Train Loss,Validation Loss,Test Accuracy,Test Exp Accuracy,Test Learn Accuracy,Train Accuracy,Perm Train Loss,Perm Test Loss,Perm Train Accuracy,Perm Test Accuracy
1,0.00035,0.6948666907846928,0.6934714317321777,0.5,0.5,0.5,0.5,0.6934778342644373,0.693493664264679,0.5,0.5
2,0.00035,0.6926062566538652,0.6931335926055908,0.5,0.5,0.5,0.5,0.6931236982345581,0.6931154131889343,0.5,0.5
3,0.00035,0.694358247021834,0.693156878153483,0.5,0.5,0.5,0.5,0.6931513485809168,0.6931546330451965,0.5,0.5
4,0.00035,0.693791168431441,0.693224827448527,0.5,0.5,0.5,0.5,0.693233210593462,0.693242609500885,0.5,0.5
5,0.00035,0.6939869374036789,0.6931209564208984,0.5,0.5,0.5,0.5,0.6931607698400816,0.693152129650116,0.5,0.5
6,0.00035,0.6940998435020447,0.6930986245473226,0.5041666666666667,0.5,0.49166666666666664,0.5026041666666666,0.6931110235551993,0.6930711269378662,0.5026041666666666,0.5
7,0.00035,0.6931213190158209,0.6930445035298666,0.5,0.5,0.5,0.5,0.6931018109122912,0.6931086778640747,0.5,0.5
8,0.00035,0.6939575386544069,0.693191130956014,0.5,0.5,0.5,0.5,0.6931500770151615,0.6931612491607666,0.5,0.5
9,0.00035,0.6923622215787569,0.6931755542755127,0.5,0.5,0.5,0.5,0.6932288433114687,0.6931921243667603,0.5,0.5
10,0.00035,0.6940199509263039,0.6931978066762289,0.5,0.5,0.5,0.5,0.6931757715841135,0.6931607127189636,0.5,0.5
11,0.00035,0.6934374695022901,0.6931447982788086,0.5,0.5,0.5,0.5,0.6931633837521076,0.6930637359619141,0.5,0.5
12,0.00035,0.6934076994657516,0.6930354436238607,0.5,0.5,0.5,0.5,0.6930499561131,0.6931151747703552,0.5,0.5
13,0.00035,0.6921062705417474,0.693098783493042,0.5,0.5,0.5,0.5,0.6930110330382983,0.6930180788040161,0.5,0.5
14,0.00035,0.6920423743625482,0.6930930614471436,0.5,0.5,0.5,0.5,0.6930786731342474,0.6930647492408752,0.5,0.5
15,0.00035,0.6943237160642942,0.6930591265360514,0.5,0.5,0.5,0.5,0.6930485119422277,0.6929743885993958,0.5,0.5
16,0.00035,0.6934885531663895,0.6930631796518961,0.5,0.5,0.5,0.5,0.6928296722471714,0.6928216218948364,0.5,0.5
17,0.00035,0.693420705695947,0.6924912929534912,0.5,0.49166666666666664,0.5,0.4986979166666667,0.6924318596720695,0.6923856139183044,0.5,0.5
18,0.00035,0.6936010643839836,0.6927949587504069,0.5333333333333333,0.44166666666666665,0.4166666666666667,0.5572916666666666,0.6921757174034914,0.6927565336227417,0.5442708333333334,0.5416666666666666
19,0.00035,0.6913006628553072,0.6924444039662679,0.5583333333333333,0.5416666666666666,0.5583333333333333,0.53125,0.6927062968413035,0.6925231218338013,0.5481770833333334,0.55
20,0.00035,0.6929641303916773,0.691957950592041,0.5583333333333333,0.55,0.5,0.5442708333333334,0.692595058431228,0.6920396089553833,0.5520833333333334,0.5166666666666667
21,0.00035,0.6905209285517534,0.6907906532287598,0.5375,0.48333333333333334,0.5833333333333334,0.5364583333333334,0.6921568475663662,0.6912103295326233,0.5520833333333334,0.5583333333333333
22,0.00035,0.6914687467118105,0.6921854813893636,0.5166666666666667,0.5416666666666666,0.55,0.5143229166666666,0.6905273931721846,0.6917413473129272,0.5130208333333334,0.5416666666666666
23,0.00035,0.6928168199956417,0.6926431655883789,0.5208333333333334,0.6,0.6333333333333333,0.5546875,0.690954660375913,0.6916207075119019,0.5403645833333334,0.5458333333333333
24,0.00035,0.6908989138901234,0.6893275578816732,0.5416666666666666,0.5,0.5416666666666666,0.5403645833333334,0.691769789904356,0.6889082193374634,0.53515625,0.55
25,0.00035,0.6901860237121582,0.6924930413564047,0.525,0.575,0.5833333333333334,0.5455729166666666,0.6916357353329659,0.6900888681411743,0.5455729166666666,0.5708333333333333
26,0.00035,0.690442488839229,0.6890707015991211,0.5791666666666667,0.5,0.5416666666666666,0.5598958333333334,0.6895266907910506,0.6886398792266846,0.5546875,0.5666666666666667
27,0.00035,0.6898874590794245,0.6936453183492025,0.5625,0.49166666666666664,0.55,0.5390625,0.6908693288763365,0.6860338449478149,0.55859375,0.5125
28,0.00035,0.6861793162922064,0.6865842342376709,0.5583333333333333,0.5416666666666666,0.575,0.5377604166666666,0.6908219307661057,0.6900230050086975,0.5208333333333334,0.525
29,0.00035,0.6958990916609764,0.6927834351857504,0.5083333333333333,0.5083333333333333,0.5666666666666667,0.5143229166666666,0.6884262027839819,0.6898010969161987,0.5377604166666666,0.5291666666666667
30,0.00035,0.6882797405123711,0.6854174931844076,0.5541666666666667,0.5666666666666667,0.5333333333333333,0.5481770833333334,0.6872975938022137,0.6874539256095886,0.5416666666666666,0.5416666666666666
31,0.00035,0.6867119744420052,0.6832435131072998,0.5666666666666667,0.5166666666666667,0.55,0.5520833333333334,0.6877153540651003,0.6841168999671936,0.59765625,0.575
32,0.00035,0.6860527445872625,0.6874529520670573,0.5958333333333333,0.5833333333333334,0.5583333333333333,0.5625,0.685899555683136,0.6785682439804077,0.58984375,0.6083333333333333
33,0.00035,0.6882218308746815,0.6829678217569987,0.6,0.48333333333333334,0.575,0.55859375,0.6808585698405901,0.6776856184005737,0.5598958333333334,0.5791666666666667
34,0.00035,0.6842811889946461,0.6834557851155599,0.5375,0.5166666666666667,0.5833333333333334,0.5455729166666666,0.6863305742541949,0.6803534030914307,0.5533854166666666,0.5125
35,0.00035,0.678617250174284,0.685901403427124,0.5833333333333334,0.65,0.5583333333333333,0.5768229166666666,0.6789790950715542,0.6797569394111633,0.5703125,0.5833333333333334
36,0.00035,0.6798775593439738,0.6771693229675293,0.5708333333333333,0.5333333333333333,0.5833333333333334,0.5611979166666666,0.6810963538785776,0.6854875683784485,0.5690104166666666,0.6
37,0.00035,0.6841374983390173,0.6881856123606364,0.5333333333333333,0.5666666666666667,0.5416666666666666,0.5638020833333334,0.6816560812294483,0.6919657588005066,0.5625,0.5541666666666667
38,0.00035,0.6853726456562678,0.6794615586598715,0.55,0.6333333333333333,0.5666666666666667,0.625,0.6800527287026247,0.681519627571106,0.59375,0.5958333333333333
39,0.00035,0.6808920440574487,0.6817390124003092,0.5958333333333333,0.6,0.6416666666666667,0.59375,0.6782053771118323,0.6723400354385376,0.5625,0.5916666666666667
